Highlight,Title,Author,Location,Date
在生活中，就像在劇院裡，權力是伴隨我們所扮演的角色而來。,懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,3,2021-09-02 10:53:50
要把任何工作做好，要成為自己想成為的那種人，要有效運用權力（無論你是否覺得自己握有權力），你都必須跳脫自己的戲碼，學會如何在別人的故事中演好自己的角色。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,5,2021-09-02 10:54:00
這表示，無論我們是誰，無論我們多麼優秀，多麼融入關係或做何感受，我們藉由在他人生活中扮演的角色，就能掌握權力。要善用權力，就必須以不同的方式思考權力。我們要對自己擁有的權力負起責任，也必須更認真看待自己扮演的角色和承擔的責任。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,19,2021-09-02 10:57:21
在我們的文化中，性別角色決定男性應該比女性更關心權力。所以當男性表現出他們對權力感興趣時，就好像他們在做自己應該做的事。而表現出對權力感興趣的女性，往往會引發負面評價並遭到質疑。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,32,2021-09-02 11:18:01
增強和弱化權力的影響不只是個別演員的選擇或風格，也是彼此對話的一部分。就像一場舞蹈或擊劍比賽，每一個動作都是對之前動作的回應。當兩名演員都在表現增強權力，看起來就像一場競賽，你會感覺到火花四射。當雙方都弱化權力表現，看起來就像是陷入僵局，因為兩人都堅持要遷就對方，行動就會慢慢停下來。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,77,2021-09-03 12:30:51
如果增強權力影響是展現權威的一種方式，那麼弱化權力影響就是展現親和力的一種做法。如果增強權力影響顯示你願意為別人而戰，那麼弱化權力影響就表明你願意為團隊的利益犧牲個人利益,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,85,2021-09-03 12:31:13
如果增強權力影響是展現權威的一種方式，那麼弱化權力影響就是展現親和力的一種做法。如果增強權力影響顯示你願意為別人而戰，那麼弱化權力影響就表明你願意為團隊的利益犧牲個人利益。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,85,2021-09-03 12:31:19
這樣做不是為了欺騙別人相信我們的謊言，而是要定義並表達自己的身分，建立既穩固又一致的形象，讓我們在,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,86,2021-09-03 04:41:23
歐文．高夫曼（Erving Goffman）在其名著《日常生活中的自我表演》（The Presentation of Self in Everyday Life）中，描述「做自己」本質上就是一種表演。高夫曼認為，我們都有動機要將自己最好的一面展現出來，要做到這一點，就必須花一點心思和事先規劃。我們依據策略挑選服裝和道具，選擇說話方式和特定儀態，甚至計畫好在什麼場景下出現。這樣做不是為了欺騙別人相信我們的謊言，而是要定義並表達自己的身分，建立既穩固又一致的形象，讓我們在努力應付混亂、自我懷疑和困惑這些無法避免的內部體驗時，在心理上能有所依靠。根據高夫曼的說法，社交互動就是表演。換句話說，「做自己」就是一種表演。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,83,2021-09-03 04:41:30
在面對讓我們感到無能為力的挑戰，譬如一個新角色、棘手的談話、陌生的情況，這時我們不要問自己：在這種情況下，我究竟害怕誰？而要問自己：在這種情況下，我希望自己像誰？我可以內化什麼角色，來擁有我渴望產生的影響？,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,107,2021-09-04 12:13:23
